受访者编号,年级,专业,日常活动区域,活动最晚时间,对校园安全的第一印象,整体安全评价,感到不安的地点/时间,安全威胁经历,安全感受变化,注意到的安全措施,最有安全感的措施,是否使用过安全设施,路径安全设施评价,保安反应评价,安全信息获取渠道,安全提醒有效性,紧急情况处理认知,是否参加过安全教育,理想安全校园描述,额外建议,安全APP期望功能,是否愿意使用安全APP
1,大一,汉语言文学,教学楼、宿舍、食堂,21:30,"图书馆自习后回宿舍的路灯路，很亮",较安全,小树林旁小路（22点后）,无,没变化,保安巡逻、监控、路灯,路灯,否,较充足,一般,班级群、公告栏,较清晰,清楚,否,监控全覆盖+紧急按钮,增加夜间巡逻频次,一键报警,是
2,大二,计算机科学,实验室、图书馆、宿舍,23:00,"保安在校门口查证件，严谨",安全,实验楼后巷（凌晨1点）,无,变好了,监控、报警柱、保安,监控,否,一般,较快,学校APP、邮件,有用,清楚,是,24小时巡逻+紧急呼叫,实验楼后巷装路灯,实时位置共享,是
3,大三,临床医学,教学楼、医院、宿舍,22:00,"医院旁的安保亭，有人值守",较安全,医院与宿舍间的小路（21点后）,曾遇醉酒人员,变差了,保安、监控、路灯,保安,是（联系过保安）,不足,良好,同学告知、班级群,一般,不太清楚,否,紧急呼叫快速响应,增加该路段巡逻,紧急联系人一键拨号,是
4,大四,会计学,教学楼、图书馆、食堂,20:30,"图书馆内的安静环境，人多",安全,无,无,没变化,监控、保安,监控,否,充足,一般,公告栏、邮件,清晰,清楚,是,人员密集+照明好,保持现状,安全通知推送,是
5,研究生,环境工程,实验室、宿舍,凌晨1:00,"实验室楼道的监控，全覆盖",较安全,实验室楼下停车场（深夜）,无,变好了,监控、报警柱,报警柱,否,不足,不清楚,学院通知群,有用,清楚,否,深夜巡逻+紧急报警,停车场装路灯,夜间同行预约,是
6,大一,新闻学,教学楼、食堂、操场,21:00,"操场旁的保安巡逻车",安全,操场角落（20点后）,无,没变化,保安、路灯,保安,否,充足,良好,学校APP、同学告知,一般,清楚,是,巡逻频繁+照明好,增加操场监控,危险区域提示,是
7,大二,法学,教学楼、图书馆、宿舍,22:30,"图书馆门口的安保人员",较安全,宿舍区旁的施工路段（21点后）,曾被施工材料绊倒,变差了,监控、警示标语,监控,否,不足,较慢,邮件、班级群,不清晰,不太清楚,否,施工区域隔离+警示,施工路段加防护,施工进度通知,是
8,大三,教育学,教学楼、实训楼、宿舍,21:00,"实训楼的门禁系统",安全,无,无,变好了,门禁、监控、保安,门禁,是（使用过门禁）,充足,良好,公告栏、学院通知,清晰,清楚,是,严格门禁+监控,保持门禁管理,访客登记查询,是
9,大四,物理学,实验室、教学楼、宿舍,23:30,"实验室的紧急按钮",较安全,实验楼到宿舍的小路（22点后）,无,没变化,监控、紧急按钮、路灯,紧急按钮,否,一般,不清楚,同学告知,一般,清楚,否,紧急按钮全覆盖,增加该路段路灯,一键启动紧急按钮,是
10,研究生,管理学,办公楼、图书馆、宿舍,20:30,"办公楼的保安值守",安全,无,无,变好了,保安、监控,保安,否,充足,良好,邮件、学校APP,有用,清楚,是,24小时保安+清晰指示,保持现状,安全资讯整合,是
